Lot ID,Category,Subcategory,Estimate,Has Bid,Current Time,New Time,Status,Details,Rule ID
1782,Stock & rolling,Workshop Inventory,100.00,True,17:38:00,17:56,Updated,Time changed,4
1783,Stock & rolling,Metal stock,20.00,False,17:15:00,17:23,Updated,Time changed,4
1784,Other machines & welding,Welding parts & accessories,20.00,True,16:33:00,16:27,Updated,Time changed,3
1785,Buffer zone,"Machine parts, tools & accessories",500.00,True,14:56:00,16:46,Updated,Time changed,6
1786,Stock & rolling,Workshop Inventory,100.00,False,17:01:00,17:16,Updated,Time changed,4
1787,Stock & rolling,Workshop Inventory,100.00,True,17:23:00,17:03,Updated,Time changed,4
1788,Buffer zone,Ladders and stairs,80.00,True,18:22:00,16:38,Updated,Time changed,6
1789,Stock & rolling,Workshop Inventory,250.00,False,17:33:00,17:40,Updated,Time changed,4
1790,Warm-up,Pneumatic tools,20.00,True,14:07:00,14:30,Updated,Time changed,1
1791,Stock & rolling,Workshop Inventory,100.00,False,17:40:00,17:14,Updated,Time changed,4
1792,Buffer zone,Ladders and stairs,60.00,False,17:13:00,15:04,Updated,Time changed,6
1793,Office & misc.,Various metalworking,100.00,False,17:09:00,18:57,Updated,Time changed,5
1794,Stock & rolling,Workshop Inventory,250.00,True,17:34:00,17:38,Updated,Time changed,4
1795,Stock & rolling,Workshop Inventory,250.00,False,17:59:00,17:36,Updated,Time changed,4
1796,Top machines,Office inventory,3500.00,True,15:49:00,15:57,Updated,Time changed,2
1797,Stock & rolling,Workshop Inventory,160.00,False,17:37:00,17:52,Updated,Time changed,4
1798,Buffer zone,"Machine parts, tools & accessories",1500.00,True,17:48:00,18:25,Updated,Time changed,6
1799,Buffer zone,"Machine parts, tools & accessories",2500.00,True,16:24:00,18:26,Updated,Time changed,6
1800,Office & misc.,Various metalworking,2500.00,True,17:52:00,17:41,Updated,Time changed,5
1801,Buffer zone,"Machine parts, tools & accessories",200.00,True,17:11:00,15:11,Updated,Time changed,6
1802,Buffer zone,Pressing machines,50.00,False,15:31:00,18:40,Updated,Time changed,6
1803,Buffer zone,Ladders and stairs,50.00,False,15:46:00,14:43,Updated,Time changed,6
1804,Buffer zone,Lifting and hoisting equipment,70.00,False,18:06:00,16:53,Updated,Time changed,6
1805,Stock & rolling,Workshop Inventory,100.00,False,17:12:00,17:41,Updated,Time changed,4
1806,Stock & rolling,Intern transport,40.00,False,17:48:00,17:28,Updated,Time changed,4
1807,Stock & rolling,Intern transport,100.00,True,17:04:00,17:49,Updated,Time changed,4
1808,Stock & rolling,Intern transport,100.00,True,17:28:00,17:01,Updated,Time changed,4
1809,Stock & rolling,Intern transport,100.00,True,17:49:00,17:19,Updated,Time changed,4
1810,Stock & rolling,Intern transport,100.00,True,17:52:00,17:43,Updated,Time changed,4
1811,Stock & rolling,Intern transport,100.00,True,17:14:00,17:19,Updated,Time changed,4
1812,Stock & rolling,Intern transport,100.00,True,17:33:00,17:18,Updated,Time changed,4
1813,Stock & rolling,Intern transport,100.00,True,17:07:00,17:19,Updated,Time changed,4
1814,Buffer zone,"Machine parts, tools & accessories",100.00,True,18:43:00,16:25,Updated,Time changed,6
1815,Buffer zone,"Machine parts, tools & accessories",100.00,False,15:47:00,14:17,Updated,Time changed,6
1816,Stock & rolling,Metal stock,250.00,False,17:08:00,17:00,Updated,Time changed,4
